algorithm,return_period,demand_fraction,capacity_multiplier,flood_penalty,origin_node,shelter_node,units
A,RP100,0.25,1.0,10.0,1056,33,733
A,RP100,0.25,1.0,10.0,1154,33,618
A,RP100,0.25,1.0,10.0,1163,33,358
A,RP100,0.25,1.0,10.0,1301,58,414
A,RP100,0.25,1.0,10.0,1336,33,200
A,RP100,0.25,1.0,10.0,1504,33,431
A,RP100,0.25,1.0,10.0,1514,58,1768
A,RP100,0.25,1.0,10.0,195,58,1437
A,RP100,0.25,1.0,10.0,238,33,852
A,RP100,0.25,1.0,10.0,361,58,869
A,RP100,0.25,1.0,10.0,389,33,577
A,RP100,0.25,1.0,10.0,390,33,309
A,RP100,0.25,1.0,10.0,396,58,200
A,RP100,0.25,1.0,10.0,442,58,545
A,RP100,0.25,1.0,10.0,447,58,378
A,RP100,0.25,1.0,10.0,49,33,721
A,RP100,0.25,1.0,10.0,50,33,101
A,RP100,0.25,1.0,10.0,502,58,242
A,RP100,0.25,1.0,10.0,507,58,391
A,RP100,0.25,1.0,10.0,585,33,325
A,RP100,0.25,1.0,10.0,63,33,124
A,RP100,0.25,1.0,10.0,703,33,1139
A,RP100,0.25,1.0,10.0,821,58,594
A,RP100,0.25,1.0,10.0,834,58,318
A,RP100,0.25,1.0,10.0,837,58,809
B,RP100,0.25,1.0,10.0,1056,33,733
B,RP100,0.25,1.0,10.0,1154,33,618
B,RP100,0.25,1.0,10.0,1163,33,358
B,RP100,0.25,1.0,10.0,1301,58,414
B,RP100,0.25,1.0,10.0,1336,33,200
B,RP100,0.25,1.0,10.0,1504,33,431
B,RP100,0.25,1.0,10.0,1514,58,1768
B,RP100,0.25,1.0,10.0,195,58,1437
B,RP100,0.25,1.0,10.0,238,33,852
B,RP100,0.25,1.0,10.0,361,58,869
B,RP100,0.25,1.0,10.0,389,33,577
B,RP100,0.25,1.0,10.0,390,33,309
B,RP100,0.25,1.0,10.0,396,58,200
B,RP100,0.25,1.0,10.0,442,58,545
B,RP100,0.25,1.0,10.0,447,58,378
B,RP100,0.25,1.0,10.0,49,33,721
B,RP100,0.25,1.0,10.0,50,33,101
B,RP100,0.25,1.0,10.0,502,58,242
B,RP100,0.25,1.0,10.0,507,58,391
B,RP100,0.25,1.0,10.0,585,58,325
B,RP100,0.25,1.0,10.0,63,33,124
B,RP100,0.25,1.0,10.0,703,33,1139
B,RP100,0.25,1.0,10.0,821,58,594
B,RP100,0.25,1.0,10.0,834,58,318
B,RP100,0.25,1.0,10.0,837,58,809
B+,RP100,0.25,1.0,10.0,1056,33,733
B+,RP100,0.25,1.0,10.0,1154,33,618
B+,RP100,0.25,1.0,10.0,1163,33,358
B+,RP100,0.25,1.0,10.0,1301,58,414
B+,RP100,0.25,1.0,10.0,1336,33,200
B+,RP100,0.25,1.0,10.0,1504,33,431
B+,RP100,0.25,1.0,10.0,1514,58,1768
B+,RP100,0.25,1.0,10.0,195,58,1437
B+,RP100,0.25,1.0,10.0,238,33,852
B+,RP100,0.25,1.0,10.0,361,58,869
B+,RP100,0.25,1.0,10.0,389,33,577
B+,RP100,0.25,1.0,10.0,390,33,309
B+,RP100,0.25,1.0,10.0,396,58,200
B+,RP100,0.25,1.0,10.0,442,58,545
B+,RP100,0.25,1.0,10.0,447,58,378
B+,RP100,0.25,1.0,10.0,49,33,721
B+,RP100,0.25,1.0,10.0,50,33,101
B+,RP100,0.25,1.0,10.0,502,58,242
B+,RP100,0.25,1.0,10.0,507,58,391
B+,RP100,0.25,1.0,10.0,585,58,325
B+,RP100,0.25,1.0,10.0,63,33,124
B+,RP100,0.25,1.0,10.0,703,33,1139
B+,RP100,0.25,1.0,10.0,821,58,594
B+,RP100,0.25,1.0,10.0,834,58,318
B+,RP100,0.25,1.0,10.0,837,58,809
C,RP100,0.25,1.0,10.0,1056,33,733
C,RP100,0.25,1.0,10.0,1154,33,618
C,RP100,0.25,1.0,10.0,1163,33,358
C,RP100,0.25,1.0,10.0,1301,58,414
C,RP100,0.25,1.0,10.0,1336,33,200
C,RP100,0.25,1.0,10.0,1504,33,431
C,RP100,0.25,1.0,10.0,1514,58,1768
C,RP100,0.25,1.0,10.0,195,58,1437
C,RP100,0.25,1.0,10.0,238,33,852
C,RP100,0.25,1.0,10.0,361,58,869
C,RP100,0.25,1.0,10.0,389,33,577
C,RP100,0.25,1.0,10.0,390,33,309
C,RP100,0.25,1.0,10.0,396,58,200
C,RP100,0.25,1.0,10.0,442,58,545
C,RP100,0.25,1.0,10.0,447,58,378
C,RP100,0.25,1.0,10.0,49,33,721
C,RP100,0.25,1.0,10.0,50,33,101
C,RP100,0.25,1.0,10.0,502,58,242
C,RP100,0.25,1.0,10.0,507,58,391
C,RP100,0.25,1.0,10.0,585,58,325
C,RP100,0.25,1.0,10.0,63,33,124
C,RP100,0.25,1.0,10.0,703,33,1139
C,RP100,0.25,1.0,10.0,821,58,594
C,RP100,0.25,1.0,10.0,834,58,318
C,RP100,0.25,1.0,10.0,837,58,809
