run_id,algorithm,return_period,demand_fraction,total_population_2020,total_demand,total_assigned,total_unassigned,assignment_rate,shelter_33_load,shelter_58_load,shelter_33_capacity,shelter_58_capacity,num_capacity_violations,capacity_violation_shelters,flood_exposed_length_m,total_route_cost_m_eq,max_route_cost_m_eq,mean_route_cost_m_eq,detour_ratio,num_origins,num_unreachable_origins,unreachable_origin_nodes,runtime_s
A_RP10_0.10,A,RP10,0.1,,6514,5781,733,0.8875,2594,3187,12000,10000,0,,0.0,14337681.31,7912.31,2480.14,1.0,28,3,"421,515,1493",0.125
A_RP10_0.25,A,RP10,0.25,,16285,14453,1832,0.8875,6488,7965,12000,10000,0,,0.0,35844138.5,7912.31,2480.05,1.0,28,3,"421,515,1493",0.145
A_RP10_0.50,A,RP10,0.5,,32570,28906,3664,0.8875,12973,15933,12000,10000,2,"33,58",0.0,71689504.66,7912.31,2480.09,1.0,28,3,"421,515,1493",0.121
A_RP20_0.10,A,RP20,0.1,,6514,5781,733,0.8875,2594,3187,12000,10000,0,,0.0,14337681.31,7912.31,2480.14,1.0,28,3,"421,515,1493",0.128
A_RP20_0.25,A,RP20,0.25,,16285,14453,1832,0.8875,6488,7965,12000,10000,0,,0.0,35844138.5,7912.31,2480.05,1.0,28,3,"421,515,1493",0.132
A_RP20_0.50,A,RP20,0.5,,32570,28906,3664,0.8875,12973,15933,12000,10000,2,"33,58",0.0,71689504.66,7912.31,2480.09,1.0,28,3,"421,515,1493",0.127
A_RP100_0.10,A,RP100,0.1,,6514,5781,733,0.8875,2594,3187,12000,10000,0,,0.0,14337681.31,7912.31,2480.14,1.0,28,3,"421,515,1493",0.13
A_RP100_0.25,A,RP100,0.25,,16285,14453,1832,0.8875,6488,7965,12000,10000,0,,0.0,35844138.5,7912.31,2480.05,1.0,28,3,"421,515,1493",0.152
A_RP100_0.50,A,RP100,0.5,,32570,28906,3664,0.8875,12973,15933,12000,10000,2,"33,58",0.0,71689504.66,7912.31,2480.09,1.0,28,3,"421,515,1493",0.132
B_RP10_0.10,B,RP10,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.288
B_RP10_0.25,B,RP10,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.286
B_RP10_0.50,B,RP10,0.5,,32570,28906,3664,0.8875,12323,16583,12000,10000,2,"33,58",0.0,71857784.09,7912.31,2485.91,1.0016,28,3,"421,515,1493",0.268
B_RP20_0.10,B,RP20,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.279
B_RP20_0.25,B,RP20,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.294
B_RP20_0.50,B,RP20,0.5,,32570,28906,3664,0.8875,12323,16583,12000,10000,2,"33,58",0.0,71857784.09,7912.31,2485.91,1.0016,28,3,"421,515,1493",0.274
B_RP100_0.10,B,RP100,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.271
B_RP100_0.25,B,RP100,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.286
B_RP100_0.50,B,RP100,0.5,,32570,28906,3664,0.8875,12323,16583,12000,10000,2,"33,58",0.0,71857784.09,7912.31,2485.91,1.0016,28,3,"421,515,1493",0.271
C_RP10_0.10,C,RP10,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.284
C_RP10_0.25,C,RP10,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.264
C_RP10_0.50,C,RP10,0.5,,32570,22000,10570,0.6755,12000,10000,12000,10000,0,,0.0,36628119.95,3333.17,1664.91,1.0139,28,3,"421,515,1493",0.266
C_RP20_0.10,C,RP20,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.292
C_RP20_0.25,C,RP20,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.285
C_RP20_0.50,C,RP20,0.5,,32570,22000,10570,0.6755,12000,10000,12000,10000,0,,0.0,36628119.95,3333.17,1664.91,1.0139,28,3,"421,515,1493",0.288
C_RP100_0.10,C,RP100,0.1,,6514,5781,733,0.8875,2464,3317,12000,10000,0,,0.0,14371347.27,7912.31,2485.96,1.0016,28,3,"421,515,1493",0.282
C_RP100_0.25,C,RP100,0.25,,16285,14453,1832,0.8875,6163,8290,12000,10000,0,,0.0,35928305.31,7912.31,2485.87,1.0016,28,3,"421,515,1493",0.274
C_RP100_0.50,C,RP100,0.5,,32570,22000,10570,0.6755,12000,10000,12000,10000,0,,0.0,36628119.95,3333.17,1664.91,1.0139,28,3,"421,515,1493",0.309
